,,,,,Paper Information,,,,,,,,Population Information,,,,,,,,,,,,,Demographic Characteristics,,,,,,,Exposure history,,,,,,,,,,,Comorbidities,,,,,,,,,,,,Symptoms,,,,,,,,,,,,,,,,,,,,,,,Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatments,,,,,,,,,,,,,,,,,,Medical Outcomes,,,,,,,,,,,,,,Outcomes,,,,,,,,Outcomes (Imaging),,
79,3,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025242,English,Patient 3,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,81,81,0,81,81,,0.00%,,,,,,,,,,,,,,100%,100.00%,0.00%,100.00%,,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,14.04,14.04,14.04,122,,122,122,1,,47,0.13,0.13,0.13,125,,125,125,,,,13.72,22,34,,174,,,,,,,,,,100.00%,100.00%,0.00%,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,17,,100%,100%,,,
79,4,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025243,English,Patient 4,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,72,72,0,72,72,,0.00%,,,,,,,,,,,,,,100%,100.00%,100.00%,100.00%,,100%,0%,0%,0%,100%,,,,,,,,,,,,,,,,,,,,,,,,10.08,10.08,10.08,68,,68,68,0,,497,0.52,0.52,0.52,167,,167,167,,,,9,7,18,,178,,,,,,,,,,100.00%,100.00%,0.00%,0.00%,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,10,,100%,100%,,,
79,5,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025244,English,Patient 5,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,83,83,0,83,83,,0.00%,,,,,,,,,,,,,,100%,100.00%,100.00%,100.00%,,0%,0%,0%,0%,100%,,,,,,,,,,,,,,,,,,,,,,,,2.98,2.98,2.98,91,,91,91,0,,209,0.26,0.26,0.26,64,,64,64,,,,2.63,27,56,,82.8,,,,,,,,,,100.00%,0.00%,100.00%,0.00%,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,7,,100%,100%,,,
79,6,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025245,English,Patient 6,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,70,70,0,70,70,,100.00%,,,,,,,,,,,,,,100%,100.00%,0.00%,0.00%,,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,16.74,16.74,16.74,128,,128,128,0,,113,0.28,0.28,0.28,226,,226,226,,,,15.07,70,107,,203,,,,,,,,,,100.00%,100.00%,100.00%,100.00%,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,8,,100%,100%,,,
79,7,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025246,English,Patient 7,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,73,73,0,73,73,,100.00%,,,,,,,,,,,,,,100%,0.00%,0.00%,100.00%,,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,10.27,10.27,10.27,140,,140,140,0,,,0.69,0.69,0.69,233,,233,233,,,,8.9,31,53,,124.3,,,,,,,,,,100.00%,100.00%,100.00%,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,9,,100%,100%,,,
79,8,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025247,English,Patient 8,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,74,74,0,74,74,,0.00%,,,,,,,,,,,,,,100%,0.00%,0.00%,100.00%,,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,8.68,8.68,8.68,120,,120,120,0,,58,0.72,0.72,0.72,224,,224,224,,,,7.48,14,34,,141,,,,,,,,,,100.00%,100.00%,0.00%,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,8,,100%,100%,,,
79,9,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025248,English,Patient 9,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,82,82,0,82,82,,100.00%,,,,,,,,,,,,,,100%,100.00%,0.00%,100.00%,,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,11.76,11.76,11.76,174,,174,174,0,,63,0.41,0.41,0.41,262,,262,262,,,,10.98,33,38,,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,7,,100%,100%,,,
79,10,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025249,English,Patient 10,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,78,78,0,78,78,,100.00%,,,,,,,,,,,,,,100%,100.00%,0.00%,0.00%,,0%,0%,0%,0%,100%,,,,,,,,,,,,,,,,,,,,,,,,13.93,13.93,13.93,134,,134,134,0,,110,1.12,1.12,1.12,175,,175,175,,,,12.41,51,81,,180,,,,,,,,,,0.00%,100.00%,100.00%,100.00%,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,10,,100%,100%,,,
79,11,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025250,English,Patient 11,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,78,78,0,78,78,,0.00%,,,,,,,,,,,,,,100%,100.00%,0.00%,0.00%,,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,9.58,9.58,9.58,77,,77,77,0,,242,0.81,0.81,0.81,338,,338,338,,,,8.13,21,38,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,9,,100%,100%,,,
79,12,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025251,English,Patient 12,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,67,67,0,67,67,,0.00%,,,,,,,,,,,,,,100%,0.00%,100.00%,0.00%,,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,12.61,12.61,12.61,139,,139,139,1,,51,1.09,1.09,1.09,139,,139,139,,,,10.76,27,36,,51.4,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,7,,100%,100%,,,
79,13,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025252,English,Patient 13,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,94,94,0,94,94,,100.00%,,,,,,,,,,,,,,100%,100.00%,0.00%,100.00%,,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,5.63,5.63,5.63,106,,106,106,1,,73,0.53,0.53,0.53,150,,150,150,,,,4.92,44,62,,120,,,,,,,,,,100.00%,100.00%,100.00%,100.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,14,,100%,100%,,,
79,14,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025253,English,Patient 14,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,69,69,0,69,69,,0.00%,,,,,,,,,,,,,,100%,0.00%,0.00%,0.00%,,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,11.01,11.01,11.01,115,,115,115,0,,51,0.55,0.55,0.55,24,,24,24,,,,10.31,24,27,,110,,,,,,,,,,100.00%,100.00%,0.00%,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,13,,100%,100%,,,
79,15,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025254,English,Patient 15,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,90,90,0,90,90,,100.00%,,,,,,,,,,,,,,100%,100.00%,0.00%,0.00%,,0%,0%,0%,0%,100%,,,,,,,,,,,,,,,,,,,,,,,,5.65,5.65,5.65,130,,130,130,0,,60,0.59,0.59,0.59,128,,128,128,,,,4.56,17,43,,33.8,,,,,,,,,,100.00%,0.00%,100.00%,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,9,,100%,100%,,,
79,16,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025255,English,Patient 16,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,75,75,0,75,75,,0.00%,,,,,,,,,,,,,,100%,100.00%,100.00%,0.00%,,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,13.35,13.35,13.35,150,,150,150,0,,49,0.52,0.52,0.52,239,,239,239,,,,12.62,21,37,,39,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,7,,100%,100%,,,
79,17,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025256,English,Patient 17,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,56,56,0,56,56,,0.00%,,,,,,,,,,,,,,100%,0.00%,0.00%,0.00%,,0%,0%,0%,0%,100%,,,,,,,,,,,,,,,,,,,,,,,,18.77,18.77,18.77,45,,45,45,0,,69,1.1,1.1,1.1,133,,133,133,,,,17.31,16,39,,74,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,7,,100%,100%,,,
79,18,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025257,English,Patient 18,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,59,59,0,59,59,,0.00%,,,,,,,,,,,,,,100%,100.00%,100.00%,0.00%,,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,6.33,6.33,6.33,123,,123,123,0,,43,0.48,0.48,0.48,139,,139,139,,,,5.39,68,32,,7.6,,,,,,,,,,100.00%,0.00%,0.00%,100.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,11,,100%,100%,,,
79,19,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025258,English,Patient 19,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,56,56,0,56,56,,100.00%,,,,,,,,,,,,,,100%,100.00%,100.00%,0.00%,,0%,0%,0%,0%,100%,,,,,,,,,,,,,,,,,,,,,,,,9.53,9.53,9.53,84,,84,84,0,,175,0.16,0.16,0.16,146,,146,146,,,,9.25,515,1082,,,,,,,,,,,,100.00%,0.00%,100.00%,100.00%,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,17,,100%,100%,,,
79,20,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025259,English,Patient 20,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,74,74,0,74,74,,100.00%,,,,,,,,,,,,,,100%,100.00%,0.00%,0.00%,,0%,0%,0%,0%,100%,,,,,,,,,,,,,,,,,,,,,,,,20.17,20.17,20.17,139,,139,139,0,,71,1.43,1.43,1.43,201,,201,201,,,,17.92,48,59,,,,,,,,,,,,0.00%,0.00%,100.00%,100.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,8,,100%,100%,,,
79,21,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025260,English,Patient 21,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,55,55,0,55,55,,0.00%,,,,,,,,,,,,,,100%,0.00%,0.00%,0.00%,,0%,100%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,3.98,3.98,3.98,121,,121,121,0,,51,0.68,0.68,0.68,121,,121,121,,,,2.99,26,32,,148.1,,,,,,,,,,100.00%,100.00%,0.00%,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,10,,100%,100%,,,
79,22,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025261,English,Patient 22,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,64,64,0,64,64,,0.00%,,,,,,,,,,,,,,100%,0.00%,0.00%,0.00%,,0%,100%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,12.7,12.7,12.7,128,,128,128,0,,26,0.14,0.14,0.14,120,,120,120,,,,12.19,20,20,,68,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,20,,100%,100%,,,
79,23,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025262,English,Patient 23,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,74,74,0,74,74,,0.00%,,,,,,,,,,,,,,100%,100.00%,0.00%,0.00%,,0%,100%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,2.62,2.62,2.62,87,,87,87,0,,29,0.17,0.17,0.17,92,,92,92,,,,2,13,24,,80.7,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,19,,100%,100%,,,
79,24,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025263,English,Patient 24,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,56,56,0,56,56,,0.00%,,,,,,,,,,,,,,100%,100.00%,0.00%,100.00%,,0%,100%,0%,0%,100%,,,,,,,,,,,,,,,,,,,,,,,,17.69,17.69,17.69,101,,101,101,0,,580,0.53,0.53,0.53,200,,200,200,,,,16.36,17,23,,,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,5,,100%,100%,,,
79,25,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025264,English,Patient 25,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,100,100,0,100,100,,100.00%,,,,,,,,,,,,,,100%,0.00%,100.00%,100.00%,,100%,0%,0%,0%,100%,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.25,2.25,115,,115,115,0,,119,0.27,0.27,0.27,152,,152,152,,,,1.81,13,29,,41.6,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,4,,100%,100%,,,
80,0,China,Chongqing,51,"Clinical characteristics of 51 patients discharged from hospital with COVID-19 in Chongqing,China",MedRxiv,Liu et al.,10.1101/2020.02.20.20025536,English,incl detailed lab data,Holly,,1/20/2020,2/11/2020,22,Top-level,All,Positive only,End-point only,Survivors only,Discharged only,Yes,ΝΑ,All,Both,45,,,34,51,,62.70%,92.30%,84.30%,,,,,,,,,,,,,7.80%,7.80%,,,,,,,,,,,84.30%,,,74.50%,21.60%,9.80%,31.40%,11.80%,43.10%,,7.80%,5.90%,,,,,,,,,5.4,4.1,7.6,136,,123,152,1,,,1.1,0.7,1.6,189,,134,235,,,,3.7,18,21,,105,0,0.28,40,67,4.1,52,0.04,,,,,,,,,21.60%,100%,100%,,,,,,7.80%,,15.70%,11.80%,2%,,,,,,,,,,,,,,,,,,,,100%,,100%,,,,2%,2%,,,
80,1,China,Chongqing,44,"Clinical characteristics of 51 patients discharged from hospital with COVID-19 in Chongqing,China",MedRxiv,Liu et al.,10.1101/2020.02.20.20025536,English,incl detailed lab data,Holly,,1/20/2020,2/11/2020,22,Subgroup,Non-severe,Positive only,End-point only,Survivors only,Discharged only,Yes,ΝΑ,Mild only,Non-ventilation only,44,,,33,49,,63.70%,,,,,,,,,,,,,,,6.80%,0%,,,,,,,,,,,84.10%,,,72.70%,11.40%,11.40%,31.80%,11.40%,36.40%,,9.10%,6.80%,,,,,,,,,5.2,4.1,7.6,136,,123,152,1,,,1.3,0.9,1.7,192,,139,237,,,,3.5,18,21,,75,0,0.28,41,68,4.1,59,0.04,,,,,,,,,9%,100%,100%,,,,,,0%,,4.50%,0%,0%,,,,,,,,,,,,,,,,,,,,100%,,100%,,,,0%,0%,,,
80,2,China,Chongqing,7,"Clinical characteristics of 51 patients discharged from hospital with COVID-19 in Chongqing,China",MedRxiv,Liu et al.,10.1101/2020.02.20.20025536,English,incl detailed lab data,Holly,,1/20/2020,2/11/2020,22,Subgroup,Severe,Positive only,End-point only,Both,Discharged only,Yes,ΝΑ,Severe/Critical Only,Both,52,,,44,60,,57.10%,,,,,,,,,,,,,,,14.30%,57.10%,,,,,,,,,,,85.70%,,,85.70%,85.70%,0%,28.60%,14.30%,85.70%,,0%,0%,,,,,,,,,5.7,3.5,10.7,132,,121,152,1,,,0.37,0.3,0.6,150,,116,225,,,,5.2,26,29,,1357,4.6,0.6,35,67,5.1,42,0.1,,,,,,,,,100%,100%,100%,,,,,,57.10%,,85.70%,85.70%,14.30%,,,,,,,,,,,,,,,,,,,,100%,,100%,,,,14.30%,14.30%,,,
81,0,China,Wuhan,110,"Clinical Characteristics of Patients with Severe Pneumonia Caused by the 2019 Novel Coronavirus in Wuhan, China",MedRxiv,,10.1101/2020.03.02.20029306,English,Overall; no outcomes as most patients still hospitalized,Ryan,,1/1/2020,2/10/2020,40,Top-level,Patients with pneumonia,Positive only,Active only,Both,Non-discharged only,No,ΝΑ,All,NA,45,,,,,,43.63%,,,,,,,,,,,,23.63%,20.91%,,20.91%,13.63%,6.36%,,5.46%,,,,,,,,81.82%,,,61.82%,32.73%,,,,37.28%,,,,,,,,0%,65.45%,34.55%,0%,5.21,4.04,6.68,131.55,,114.33,148.76,0,,62.18,1.00,0.55,1.45,167.41,,137.59,206.20,,,,3.68,20.49,25.80,,2.06,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,0%,,,,0%,,,,
81,1,China,Wuhan,110,"Clinical Characteristics of Patients with Severe Pneumonia Caused by the 2019 Novel Coronavirus in Wuhan, China",MedRxiv,,10.1101/2020.03.02.20029307,English,Severe Pneumonia,Ryan,,1/1/2020,2/10/2020,40,Subgroup,Severe pneumonia,Positive only,Active only,Both,Non-discharged only,No,ΝΑ,Severe/Critical Only,NA,70,,,,,,63.16%,,,,,,,,,,,,23.68%,10.53%,,39.47%,21.05%,7.89%,,10.53%,,,,,,,,86.84%,,,55.26%,39.47%,,,,26.32%,,,,,,,,0%,0%,100%,0%,5.2,3.9,6.46,129.87,,110.48,149.26,0,,74.75,0.6,0.29,0.91,144.5,,110.75,167.75,,,,4.26,21.9,36.8,,4.98,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,0%,,,,0.00%,,,,
81,2,China,Wuhan,110,"Clinical Characteristics of Patients with Severe Pneumonia Caused by the 2019 Novel Coronavirus in Wuhan, China",MedRxiv,,10.1101/2020.03.02.20029308,English,Non-severe Pneumonia,Ryan,,1/1/2020,2/10/2020,40,Subgroup,Non-severe pneumonia,Positive only,Active only,Both,Non-discharged only,No,ΝΑ,All,NA,35,,,,,,33.33%,,,,,,,,,,,,23.61%,26.39%,,11.11%,9.72%,5.56%,,2.78%,,,,,,,,79.17%,,,65.28%,29.17%,,,,43.06%,,,,,,,,0%,100%,0%,0%,5.21,4.11,6.8,132.43,,116.36,148.5,0,,55.55,1.21,0.68,1.74,179.5,,151.75,226.5,,,,3.38,19.75,20,,0.52,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,0%,,,,0.00%,,,,
82,0,China,Chongqing,46,Epidemiological and clinical characteristics of COVID-19 in adolescents and young adults,MedRxiv,Liao et al.,10.1101/2020.03.10.20032136,English,adolescents/young adults,Holly,,1/25/2020,2/23/2020,29,Top-level,All,Positive only,End-point and active,Survivors only,Both,Yes,ΝΑ,All,NA,26.2,,,,,,52.20%,95.60%,47.80%,47.80%,7.2,,,,,,,,10.90%,28.90%,13%,,,,,,,,,,,,,69.10%,,,81%,2.40%,19.10%,38.10%,7.10%,19.10%,7.10%,4.80%,2.40%,9.50%,,,7.10%,8.70%,,89.10%,2.20%,5,4.1,6.7,139.5,,130,151,1,,,1.3,1,1.8,192.5,,156,237,8.7,5.9,14.6,3.4,17.9,18.3,,26,,0.3,,61.5,3.4,57,0.03,,,,,,,,,,100%,,,,,,,,,84.80%,,,,,,,,0%,0,0%,0%,,0,0,0,0,0,6.50%,0,0,0,100.00%,,78.30%,,,12.6,0%,0%,,,
82,1,China,Chongqing,14,Epidemiological and clinical characteristics of COVID-19 in adolescents and young adults,MedRxiv,Liao et al.,10.1101/2020.03.10.20032136,English,adolescents/young adults,Holly,,1/25/2020,2/23/2020,29,Subgroup,Adolescents (10-24 yrs),Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,Mild only,Non-ventilation only,17.5,,,,,,50%,100%,64.30%,35.70%,,,,,,,,,7.10%,21.40%,7.10%,,,,,,,,,,,,,58.30%,,,91.70%,0%,16.70%,50%,8.30%,16.70%,16.70%,16.70%,0%,0%,,,8.30%,14.30%,,85.70%,0%,5.4,4.5,6.7,147,,133,151,1,,,1.4,1.1,2.3,183,,156,227,9,5.9,24.8,3.8,16.3,16.6,,32,,0.2,,62.5,3.9,53,0.04,,,,,,,,,,100%,,,,,,,,,64.30%,,,,,,,,0%,0,0%,0%,,0,0,0,0,0,7.10%,0,0,0,100.00%,0%,85.70%,,,12.6,0%,0%,,,
